metric,exp_id,reading,arm,value
revenue_per_user,0,long,control,7.7584176
revenue_per_user,0,long,control,5.023064
revenue_per_user,0,long,control,58.912804
revenue_per_user,0,long,control,6.9701195
revenue_per_user,0,long,control,22.958317
revenue_per_user,0,long,control,5.1481295
revenue_per_user,0,long,control,3.420457
revenue_per_user,0,long,control,2.2823994
revenue_per_user,0,long,control,2.6773105
revenue_per_user,0,long,control,8.226364
revenue_per_user,0,long,control,7.653028
revenue_per_user,0,long,control,6.118078
revenue_per_user,0,long,control,3.4996307
revenue_per_user,0,long,control,7.73938
revenue_per_user,0,long,control,3.1060417
revenue_per_user,0,long,control,8.01819
revenue_per_user,0,long,control,10.282208
revenue_per_user,0,long,control,6411.5327
revenue_per_user,0,long,control,4.5280914
revenue_per_user,0,long,control,2.0970614
revenue_per_user,0,long,control,11.423595
revenue_per_user,0,long,control,7.0925565
revenue_per_user,0,long,control,9.631797
revenue_per_user,0,long,control,4.5940437
revenue_per_user,0,long,control,6.122892
revenue_per_user,0,long,control,4.892774
revenue_per_user,0,long,control,12.048805
revenue_per_user,0,long,control,3.6292765
revenue_per_user,0,long,control,6.679728
revenue_per_user,0,long,control,4.1779065
revenue_per_user,0,long,control,22.117504
revenue_per_user,0,long,control,4.203954
revenue_per_user,0,long,control,5.4126472
revenue_per_user,0,long,control,11.173217
revenue_per_user,0,long,control,2.150325
revenue_per_user,0,long,control,23.522556
revenue_per_user,0,long,control,3.756361
revenue_per_user,0,long,control,3.099216
revenue_per_user,0,long,control,2.422417
revenue_per_user,0,long,control,6.351329
revenue_per_user,0,long,control,3.9653692
revenue_per_user,0,long,control,6.4518943
revenue_per_user,0,long,control,5.3853917
revenue_per_user,0,long,control,8.054461
revenue_per_user,0,long,control,4.6118865
revenue_per_user,0,long,control,5.0447483
revenue_per_user,0,long,control,6.6995735
revenue_per_user,0,long,control,4.591403
revenue_per_user,0,long,control,5.557335
revenue_per_user,0,long,control,11.275802
revenue_per_user,0,long,control,7.6795845
revenue_per_user,0,long,control,5.96335
revenue_per_user,0,long,control,1.6862512
revenue_per_user,0,long,control,9.2140045
revenue_per_user,0,long,control,4.094192
revenue_per_user,0,long,control,3.1027625
revenue_per_user,0,long,control,4.9620714
revenue_per_user,0,long,control,2.9778807
revenue_per_user,0,long,control,6.9711323
revenue_per_user,0,long,control,3.4065855
revenue_per_user,0,long,control,3.292414
revenue_per_user,0,long,control,6.3013926
revenue_per_user,0,long,control,2.745717
revenue_per_user,0,long,control,4.215207
revenue_per_user,0,long,control,4.6455154
revenue_per_user,0,long,control,6.885724
revenue_per_user,0,long,control,4.0844426
revenue_per_user,0,long,control,5.815185
revenue_per_user,0,long,control,5.1440926
revenue_per_user,0,long,control,49.466587
revenue_per_user,0,long,control,14.980016
revenue_per_user,0,long,control,6.0835767
revenue_per_user,0,long,control,3.8481534
revenue_per_user,0,long,control,78.74037
revenue_per_user,0,long,control,7.132449
revenue_per_user,0,long,control,4.4069867
